customer_id,signup_date,age,country,device,acquisition_channel,plan,billing_cycle,payment_method,base_price,total_discount_pct,monthly_fee,late_payments_6m,usage_days_30,avg_session_minutes,content_diversity,engagement_trend,support_tickets_6m,avg_ticket_resolution_hours,had_streaming_issues,refund_requests_12m,tenure_months,churn_probability_true,churned,churned_month
1,2021-06-12,19,CA,Mobile,Affiliate,Standard,Annual,Debit Card,13.99,0.19081765580285365,11.32,0,17,20.9,3,1.06,0,10.9,1,0,55,0.7345,1,5.0
2,2024-11-14,55,SE,Mobile,Referral,Basic,Annual,PayPal,9.99,0.2598230970612235,7.39,1,16,48.8,11,-1.11,0,29.4,0,0,14,0.7376,1,7.0
3,2024-04-10,29,IT,Mobile,Affiliate,Standard,Monthly,Debit Card,13.99,0.0,13.99,1,10,24.9,9,-0.92,1,28.3,0,0,21,0.8265,1,12.0
4,2023-03-13,54,UK,Mobile,Email,Standard,Monthly,Credit Card,13.99,0.0,13.99,2,23,34.0,9,0.76,1,5.2,0,0,34,0.619,1,2.0
5,2023-03-02,47,US,SmartTV,Social,Standard,Monthly,Debit Card,13.99,0.15,11.89,1,14,49.7,5,0.06,0,17.2,0,1,34,0.814,1,6.0
6,2025-04-17,28,FR,Desktop,Referral,Premium,Monthly,Debit Card,17.99,0.15,15.29,0,14,33.5,7,0.54,0,8.2,0,0,8,0.5782,1,8.0
7,2021-06-06,42,US,Mobile,Paid Search,Basic,Annual,Credit Card,9.99,0.21996697454072092,7.79,1,15,65.9,3,0.21,0,18.1,0,0,55,0.6427,1,11.0
8,2024-06-27,19,US,Desktop,Referral,Standard,Annual,PayPal,13.99,0.2866774925047787,9.98,3,26,57.8,10,-0.46,2,13.3,0,0,18,0.7618,1,6.0
9,2022-01-03,54,CA,Desktop,Social,Basic,Monthly,Google Pay,9.99,0.0,9.99,0,21,63.7,2,0.16,0,16.1,0,1,48,0.5751,1,10.0
10,2021-06-21,33,IT,Mobile,Referral,Standard,Monthly,Prepaid,13.99,0.1,12.59,0,15,39.9,7,2.29,0,3.6,1,0,54,0.8173,0,
11,2023-08-20,37,FR,Mobile,Organic,Basic,Monthly,Debit Card,9.99,0.0,9.99,0,19,58.9,6,0.66,0,12.8,0,0,28,0.6173,1,3.0
12,2025-11-17,26,NL,Desktop,Social,Standard,Annual,Google Pay,13.99,0.20309899203618298,11.15,0,13,50.9,7,0.69,1,11.4,1,1,1,0.7937,0,
13,2024-09-05,36,FR,SmartTV,Social,Standard,Monthly,PayPal,13.99,0.05,13.29,0,10,86.4,10,2.01,1,28.8,0,1,16,0.7376,1,3.0
14,2024-10-21,38,ES,Mobile,Organic,Premium,Monthly,Credit Card,17.99,0.1,16.19,0,9,5.0,5,0.4,1,27.7,0,0,14,0.829,1,6.0
